"DESeq","voom","NOISeq","edgeR","EBSeq"
"MFSD2A","-","+","+","-"
"SERPINA5","+","+","+","+"
"ACSL6","-","-","-","-"
"PKD1L2","-","-","-","-"
"MCF2","+","-","-","-"
"EMX2","-","-","+","+"
"HOXB8","-","-","+","+"
"CLDN2","-","+","+","+"
"AKR1B1","-","+","-","-"
"SPINK2","-","+","+","+"
"KLHL14","-","-","-","-"
"MIR4508","-","-","-","-"
"EMX2OS","-","+","+","+"
"NDRG4","-","-","-","-"
"SPINK13","-","-","-","-"
"RASL10B","-","-","-","-"
"PATE2","-","-","-","-"
"TMEM114","-","-","+","+"
"CRTAC1","+","-","-","-"
"CYP19A1","-","-","-","-"
"SEMA5B","-","+","-","-"
"LOC375295","-","-","-","-"
"KCP","-","-","-","-"
"SLC2A9","+","-","-","-"
"AQP2","-","+","+","+"
"ANO1","-","-","-","-"
"PIP","-","+","+","+"
"ANXA13","-","-","-","-"
"CA2","-","-","-","-"
"ABCG2","-","-","-","-"
